,coal,oil,lignite,gas
2021-03-08,7.476426799007444,41.335577815810616,6.662560787402191,16.149999618530273
2021-03-09,7.533498759305211,41.335577815810616,6.713420030054117,16.924999237060547
2021-03-10,7.510669975186104,41.335577815810616,6.693076332993346,17.6299991607666
2021-03-11,7.510669975186104,41.335577815810616,6.693076332993346,18.125
2021-03-12,7.539205955334987,41.335577815810616,6.718505954319308,18.450000762939453
2021-03-13,7.539205955334987,41.335577815810616,6.718505954319308,18.450000762939453
2021-03-14,7.539205955334987,41.335577815810616,6.718505954319308,18.450000762939453
2021-03-15,7.573449131513646,42.03222664304576,6.749021499910462,17.93000030517578
2021-03-16,7.567741935483871,42.03222664304576,6.743935575645271,17.65999984741211
2021-03-17,7.710421836228288,42.03222664304576,6.871083682275084,17.969999313354492
2021-03-18,7.7732009925558305,42.03222664304576,6.927028849192201,17.760000228881836
2021-03-19,7.813151364764268,42.03222664304576,6.962630319048549,17.264999389648438
2021-03-20,7.813151364764268,42.03222664304576,6.962630319048549,17.264999389648438
2021-03-21,7.813151364764268,42.03222664304576,6.962630319048549,17.264999389648438
2021-03-22,7.818858560794045,41.703520114683094,6.967716243313742,18.045000076293945
2021-03-23,7.818858560794045,41.703520114683094,6.967716243313742,18.389999389648438
2021-03-24,7.818858560794045,41.703520114683094,6.967716243313742,18.59000015258789
2021-03-25,7.818858560794045,41.703520114683094,6.967716243313742,18.364999771118164
2021-03-26,7.818858560794045,41.703520114683094,6.967716243313742,18.700000762939453
2021-03-27,7.818858560794045,41.703520114683094,6.967716243313742,18.700000762939453
2021-03-28,7.818858560794045,41.703520114683094,6.967716243313742,18.700000762939453
2021-03-29,8.058560794044665,40.70960368698614,7.181325062451827,18.44499969482422
2021-03-30,7.990074441687345,40.70960368698614,7.1202939712695175,18.80500030517578
2021-03-31,7.995781637717121,40.70960368698614,7.125379895534709,18.9950008392334
2021-04-01,8.012903225806452,40.70960368698614,7.140637668330288,19.170000076293945
2021-04-02,8.012903225806452,40.70960368698614,7.140637668330288,19.170000076293945
2021-04-03,8.012903225806452,40.70960368698614,7.140637668330288,19.170000076293945
2021-04-04,8.012903225806452,40.70960368698614,7.140637668330288,19.170000076293945
2021-04-05,8.012903225806452,40.70960368698614,7.140637668330288,19.170000076293945
2021-04-06,8.024317617866005,40.70960368698614,7.150809516860672,19.780000686645508
2021-04-07,7.853101736972704,40.70960368698614,6.998231788904896,19.28499984741211
2021-04-08,7.670471464019851,40.70960368698614,6.835482212418737,18.989999771118164
2021-04-09,7.710421836228288,40.70960368698614,6.871083682275084,18.940000534057617
2021-04-10,7.710421836228288,40.70960368698614,6.871083682275084,18.940000534057617
2021-04-11,7.710421836228288,40.70960368698614,6.871083682275084,18.940000534057617
